"Sample Date","Test date","WRRF Name","WRRF Abbreviation","Concentration SARS-CoV-2 gene target (N1 Copies/L) ","Per capita SARS-CoV-2 load (N1 copies per day per population)","Annotation","Population Served, estimated ","Technology"
"12/21/2025","12/22/2025","Coney Island","CI","7,530.00","3,570,000.00",,"647,635","dPCR-SC2"
"12/21/2025","12/22/2025","Bowery Bay","BB","12,600.00","4,530,000.00",,"894,311","dPCR-SC2"
"12/21/2025","12/22/2025","26th Ward","26W","12,300.00","5,570,000.00","Controls failed on 12/22/25. Sample re-tested on 12/23/25.","318,262","dPCR-SC2"
"12/16/2025","12/18/2025","26th Ward","26W","4,460.00","1,960,000.00",,"318,262","dPCR-SC2"
"12/16/2025","12/18/2025","Wards Island","WI","20,500.00","11,500,000.00","This sample was analyzed in duplicate.","1,173,448","dPCR-SC2"
"12/16/2025","12/18/2025","Tallman Island","TI","13,700.00","5,560,000.00",,"457,817","dPCR-SC2"
"12/16/2025","12/18/2025","Rockaway","RK","8,850.00","4,820,000.00",,"117,991","dPCR-SC2"
"12/16/2025","12/18/2025","Red Hook","RH","4,470.00","1,580,000.00",,"257,556","dPCR-SC2"
"12/16/2025","12/18/2025","Port Richmond","PR","10,900.00","3,490,000.00",,"224,516","dPCR-SC2"
"12/16/2025","12/18/2025","Owls Head","OH",,,,"923,524","dPCR-SC2"
"12/16/2025","12/18/2025","Oakwood Beach","OB","62,600.00","22,200,000.00",,"243,910","dPCR-SC2"
"12/16/2025","12/18/2025","North River","NR","15,800.00","9,750,000.00",,"649,549","dPCR-SC2"
"12/16/2025","12/18/2025","Newtown Creek","NC","9,500.00","5,330,000.00","This sample was analyzed in duplicate.","1,227,810","dPCR-SC2"
"12/16/2025","12/18/2025","Jamaica Bay","JA","11,000.00","3,910,000.00","This sample was analyzed in duplicate.","735,054","dPCR-SC2"
"12/16/2025","12/18/2025","Hunts Point","HP","13,900.00","7,540,000.00","This sample was analyzed in duplicate.","781,885","dPCR-SC2"
"12/16/2025","12/18/2025","Coney Island","CI","24,300.00","9,660,000.00",,"647,635","dPCR-SC2"
"12/16/2025","12/18/2025","Bowery Bay","BB","6,890.00","2,360,000.00",,"894,311","dPCR-SC2"
"12/14/2025","12/16/2025","Jamaica Bay","JA","4,060.00","1,570,000.00","Controls failed on 12/22/25. Sample re-tested on 12/23/25. This sample was analyzed in duplicate.","735,054","dPCR-SC2"
"12/14/2025","12/16/2025","Wards Island","WI","12,200.00","8,450,000.00","Controls failed on 12/22/25. Sample re-tested on 12/23/25. This sample was analyzed in duplicate.","1,173,448","dPCR-SC2"
"12/14/2025","12/16/2025","Tallman Island","TI","6,290.00","3,120,000.00","Controls failed on 12/22/25. Sample re-tested on 12/23/25.","457,817","dPCR-SC2"
"12/14/2025","12/16/2025","Rockaway","RK","3,530.00","1,930,000.00","Controls failed on 12/22/25. Sample re-tested on 12/23/25.","117,991","dPCR-SC2"
"12/14/2025","12/16/2025","Red Hook","RH","5,890.00","2,340,000.00","Controls failed on 12/22/25. Sample re-tested on 12/23/25.","257,556","dPCR-SC2"
"12/14/2025","12/16/2025","Port Richmond","PR","3,600.00","1,270,000.00","Controls failed on 12/22/25. Sample re-tested on 12/23/25.","224,516","dPCR-SC2"
"12/14/2025","12/16/2025","Owls Head","OH","4,220.00","1,710,000.00","Controls failed on 12/22/25. Sample re-tested on 12/23/25.","923,524","dPCR-SC2"
"12/14/2025","12/16/2025","Oakwood Beach","OB","21,400.00","7,870,000.00","Controls failed on 12/22/25. Sample re-tested on 12/23/25.","243,910","dPCR-SC2"
"12/14/2025","12/16/2025","North River","NR","8,780.00","5,730,000.00","Controls failed on 12/22/25. Sample re-tested on 12/23/25.","649,549","dPCR-SC2"
"12/14/2025","12/16/2025","Newtown Creek","NC","2,240.00","1,410,000.00","Controls failed on 12/22/25. Sample re-tested on 12/23/25. This sample was analyzed in duplicate.","1,227,810","dPCR-SC2"
"12/14/2025","12/16/2025","Hunts Point","HP","16,800.00","9,920,000.00","Controls failed on 12/22/25. Sample re-tested on 12/23/25. This sample was analyzed in duplicate.","781,885","dPCR-SC2"
"12/14/2025","12/16/2025","Coney Island","CI","13,300.00","6,230,000.00","Controls failed on 12/22/25. Sample re-tested on 12/23/25.","647,635","dPCR-SC2"
"12/14/2025","12/16/2025","Bowery Bay","BB","10,300.00","4,460,000.00","Controls failed on 12/22/25. Sample re-tested on 12/23/25.","894,311","dPCR-SC2"
"12/14/2025","12/16/2025","26th Ward","26W","5,590.00","2,920,000.00","Controls failed on 12/22/25. Sample re-tested on 12/23/25.","318,262","dPCR-SC2"
"12/09/2025","12/11/2025","26th Ward","26W","6,190.00","2,730,000.00",,"318,262","dPCR-SC2"
"12/09/2025","12/11/2025","Wards Island","WI","17,100.00","9,100,000.00","This sample was analyzed in duplicate.","1,173,448","dPCR-SC2"
"12/09/2025","12/11/2025","Tallman Island","TI","2,880.00","1,050,000.00",,"457,817","dPCR-SC2"
"12/09/2025","12/11/2025","Rockaway","RK","2,940.00","1,700,000.00",,"117,991","dPCR-SC2"
"12/09/2025","12/11/2025","Red Hook","RH","13,200.00","4,670,000.00",,"257,556","dPCR-SC2"
"12/09/2025","12/11/2025","Port Richmond","PR","18,400.00","5,910,000.00",,"224,516","dPCR-SC2"
"12/09/2025","12/11/2025","Owls Head","OH","4,880.00","1,620,000.00",,"923,524","dPCR-SC2"
"12/09/2025","12/11/2025","Oakwood Beach","OB","24,500.00","8,840,000.00",,"243,910","dPCR-SC2"
"12/09/2025","12/11/2025","North River","NR","6,560.00","4,010,000.00",,"649,549","dPCR-SC2"
"12/09/2025","12/11/2025","Newtown Creek","NC","5,090.00","2,870,000.00","This sample was analyzed in duplicate.","1,227,810","dPCR-SC2"
"12/09/2025","12/11/2025","Jamaica Bay","JA","62,900.00","20,400,000.00","This sample was analyzed in duplicate.","735,054","dPCR-SC2"
"12/09/2025","12/11/2025","Hunts Point","HP","10,400.00","5,400,000.00","This sample was analyzed in duplicate.","781,885","dPCR-SC2"
"12/09/2025","12/11/2025","Coney Island","CI","5,230.00","2,110,000.00",,"647,635","dPCR-SC2"
"12/09/2025","12/11/2025","Bowery Bay","BB","6,320.00","2,140,000.00",,"894,311","dPCR-SC2"
"12/07/2025","12/09/2025","Oakwood Beach","OB","14,900.00","5,930,000.00",,"243,910","dPCR-SC2"
"12/07/2025","12/09/2025","Wards Island","WI","10,200.00","5,560,000.00","This sample was analyzed in duplicate.","1,173,448","dPCR-SC2"
"12/07/2025","12/09/2025","Tallman Island","TI","16,100.00","7,180,000.00",,"457,817","dPCR-SC2"
"12/07/2025","12/09/2025","Rockaway","RK","17,100.00","10,400,000.00",,"117,991","dPCR-SC2"
"12/07/2025","12/09/2025","Red Hook","RH","14,400.00","5,080,000.00",,"257,556","dPCR-SC2"
"12/07/2025","12/09/2025","Port Richmond","PR","3,010.00","963,000.00",,"224,516","dPCR-SC2"
"12/07/2025","12/09/2025","Owls Head","OH",,,,"923,524","dPCR-SC2"
"12/07/2025","12/09/2025","North River","NR","4,180.00","2,440,000.00",,"649,549","dPCR-SC2"
"12/07/2025","12/09/2025","Newtown Creek","NC","1,690.00","892,000.00","This sample was analyzed in duplicate.","1,227,810","dPCR-SC2"
"12/07/2025","12/09/2025","Jamaica Bay","JA","7,540.00","2,800,000.00","This sample was analyzed in duplicate.","735,054","dPCR-SC2"
"12/07/2025","12/09/2025","Hunts Point","HP","8,670.00","4,580,000.00","This sample was analyzed in duplicate.","781,885","dPCR-SC2"
"12/07/2025","12/09/2025","Coney Island","CI",,,,"647,635","dPCR-SC2"
"12/07/2025","12/09/2025","Bowery Bay","BB","8,060.00","3,100,000.00",,"894,311","dPCR-SC2"
"12/07/2025","12/09/2025","26th Ward","26W","3,940.00","1,830,000.00",,"318,262","dPCR-SC2"
"11/30/2025","12/02/2025","26th Ward","26W","9,020.00","4,500,000.00",,"318,262","dPCR-SC2"
"11/30/2025","12/02/2025","Wards Island","WI","7,950.00","4,340,000.00","This sample was analyzed in duplicate.","1,173,448","dPCR-SC2"
"11/30/2025","12/02/2025","Tallman Island","TI","4,020.00","1,860,000.00",,"457,817","dPCR-SC2"
"11/30/2025","12/02/2025","Rockaway","RK","4,710.00","2,720,000.00",,"117,991","dPCR-SC2"
"11/30/2025","12/02/2025","Red Hook","RH","8,980.00","3,300,000.00",,"257,556","dPCR-SC2"
"11/30/2025","12/02/2025","Port Richmond","PR",,,,"224,516","dPCR-SC2"
"11/30/2025","12/02/2025","Owls Head","OH","8,460.00","3,020,000.00",,"923,524","dPCR-SC2"
"11/30/2025","12/02/2025","Oakwood Beach","OB","38,200.00","14,500,000.00",,"243,910","dPCR-SC2"
"11/30/2025","12/02/2025","North River","NR","12,500.00","7,090,000.00",,"649,549","dPCR-SC2"
"11/30/2025","12/02/2025","Newtown Creek","NC","2,250.00","1,190,000.00","This sample was analyzed in duplicate.","1,227,810","dPCR-SC2"
"11/30/2025","12/02/2025","Jamaica Bay","JA","8,130.00","3,100,000.00","This sample was analyzed in duplicate.","735,054","dPCR-SC2"
"11/30/2025","12/02/2025","Hunts Point","HP","6,380.00","3,520,000.00","This sample was analyzed in duplicate.","781,885","dPCR-SC2"
"11/30/2025","12/02/2025","Coney Island","CI","13,900.00","5,940,000.00",,"647,635","dPCR-SC2"
"11/30/2025","12/02/2025","Bowery Bay","BB","3,770.00","1,470,000.00",,"894,311","dPCR-SC2"
"11/23/2025","11/25/2025","Coney Island","CI","9,850.00","4,150,000.00",,"647,635","dPCR-SC2"
"11/23/2025","11/25/2025","Wards Island","WI","30,700.00","15,500,000.00","This sample was analyzed in duplicate.","1,173,448","dPCR-SC2"
"11/23/2025","11/25/2025","Tallman Island","TI","10,100.00","4,250,000.00",,"457,817","dPCR-SC2"
"11/23/2025","11/25/2025","Rockaway","RK","7,660.00","4,420,000.00",,"117,991","dPCR-SC2"
"11/23/2025","11/25/2025","Red Hook","RH","11,400.00","4,010,000.00",,"257,556","dPCR-SC2"
"11/23/2025","11/25/2025","Port Richmond","PR","5,420.00","1,830,000.00",,"224,516","dPCR-SC2"
"11/23/2025","11/25/2025","Owls Head","OH","5,100.00","1,650,000.00",,"923,524","dPCR-SC2"
"11/23/2025","11/25/2025","Oakwood Beach","OB","10,700.00","4,030,000.00",,"243,910","dPCR-SC2"
"11/23/2025","11/25/2025","North River","NR","11,400.00","6,290,000.00",,"649,549","dPCR-SC2"
"11/23/2025","11/25/2025","Newtown Creek","NC","6,770.00","3,460,000.00","This sample was analyzed in duplicate.","1,227,810","dPCR-SC2"
"11/23/2025","11/25/2025","Jamaica Bay","JA","9,280.00","3,390,000.00","This sample was analyzed in duplicate.","735,054","dPCR-SC2"
"11/23/2025","11/25/2025","Hunts Point","HP",,,"This sample was analyzed in duplicate.","781,885","dPCR-SC2"
"11/23/2025","11/25/2025","Bowery Bay","BB","9,200.00","3,430,000.00",,"894,311","dPCR-SC2"
"11/23/2025","11/25/2025","26th Ward","26W","9,030.00","4,190,000.00",,"318,262","dPCR-SC2"
"11/18/2025","11/20/2025","Hunts Point","HP","15,100.00","7,580,000.00","This sample was analyzed in duplicate.","781,885","dPCR-SC2"
"11/18/2025","11/20/2025","Wards Island","WI","15,400.00","7,500,000.00","This sample was analyzed in duplicate.","1,173,448","dPCR-SC2"
"11/18/2025","11/20/2025","Tallman Island","TI","20,700.00","9,750,000.00",,"457,817","dPCR-SC2"
"11/18/2025","11/20/2025","Rockaway","RK","11,200.00","6,470,000.00",,"117,991","dPCR-SC2"
"11/18/2025","11/20/2025","Red Hook","RH","16,800.00","6,420,000.00",,"257,556","dPCR-SC2"
"11/18/2025","11/20/2025","Port Richmond","PR","10,500.00","3,200,000.00",,"224,516","dPCR-SC2"
"11/18/2025","11/20/2025","Owls Head","OH","15,700.00","5,210,000.00",,"923,524","dPCR-SC2"
"11/18/2025","11/20/2025","Bowery Bay","BB","24,200.00","8,200,000.00",,"894,311","dPCR-SC2"
"11/18/2025","11/20/2025","26th Ward","26W","27,700.00","11,500,000.00",,"318,262","dPCR-SC2"
"11/18/2025","11/20/2025","Oakwood Beach","OB","41,200.00","14,100,000.00",,"243,910","dPCR-SC2"
"11/18/2025","11/20/2025","North River","NR","11,300.00","6,530,000.00",,"649,549","dPCR-SC2"
"11/18/2025","11/20/2025","Newtown Creek","NC","41,200.00","22,200,000.00","This sample was analyzed in duplicate.","1,227,810","dPCR-SC2"
"11/18/2025","11/20/2025","Coney Island","CI","14,600.00","5,800,000.00",,"647,635","dPCR-SC2"
"11/18/2025","11/20/2025","Jamaica Bay","JA","31,900.00","10,200,000.00","This sample was analyzed in duplicate.","735,054","dPCR-SC2"
"11/11/2025","11/13/2025","26th Ward","26W","9,590.00","4,330,000.00",,"318,262","dPCR-SC2"
"11/11/2025","11/13/2025","Wards Island","WI","11,400.00","5,370,000.00","This sample was analyzed in duplicate.","1,173,448","dPCR-SC2"
"11/11/2025","11/13/2025","Tallman Island","TI","5,740.00","2,800,000.00",,"457,817","dPCR-SC2"
"11/11/2025","11/13/2025","Rockaway","RK","6,480.00","4,160,000.00",,"117,991","dPCR-SC2"
"11/11/2025","11/13/2025","Red Hook","RH","2,390.00","878,000.00",,"257,556","dPCR-SC2"
"11/11/2025","11/13/2025","Port Richmond","PR","3,010.00","963,000.00",,"224,516","dPCR-SC2"
"11/11/2025","11/13/2025","Owls Head","OH","15,100.00","4,700,000.00",,"923,524","dPCR-SC2"
"11/11/2025","11/13/2025","Oakwood Beach","OB","8,950.00","3,210,000.00",,"243,910","dPCR-SC2"
"11/11/2025","11/13/2025","North River","NR","5,980.00","3,550,000.00",,"649,549","dPCR-SC2"
"11/11/2025","11/13/2025","Newtown Creek","NC","11,300.00","6,130,000.00","This sample was analyzed in duplicate.","1,227,810","dPCR-SC2"
"11/11/2025","11/13/2025","Jamaica Bay","JA","12,200.00","4,270,000.00","This sample was analyzed in duplicate.","735,054","dPCR-SC2"
"11/11/2025","11/13/2025","Hunts Point","HP","6,380.00","3,240,000.00","This sample was analyzed in duplicate.","781,885","dPCR-SC2"
"11/11/2025","11/13/2025","Coney Island","CI","4,640.00","2,090,000.00",,"647,635","dPCR-SC2"
"11/11/2025","11/13/2025","Bowery Bay","BB","25,300.00","8,900,000.00",,"894,311","dPCR-SC2"
"11/04/2025","11/06/2025","26th Ward","26W","3,940.00","1,780,000.00",,"318,262","dPCR-SC2"
"11/04/2025","11/06/2025","Wards Island","WI","8,510.00","3,980,000.00","This sample was analyzed in duplicate.","1,173,448","dPCR-SC2"
"11/04/2025","11/06/2025","Tallman Island","TI","6,900.00","2,850,000.00",,"457,817","dPCR-SC2"
"11/04/2025","11/06/2025","Rockaway","RK","3,530.00","2,270,000.00",,"117,991","dPCR-SC2"
"11/04/2025","11/06/2025","Red Hook","RH","4,190.00","1,600,000.00",,"257,556","dPCR-SC2"
"11/04/2025","11/06/2025","Port Richmond","PR","1,810.00","581,000.00",,"224,516","dPCR-SC2"
"11/04/2025","11/06/2025","Owls Head","OH","10,300.00","3,240,000.00",,"923,524","dPCR-SC2"
"11/04/2025","11/06/2025","Oakwood Beach","OB","2,980.00","1,190,000.00",,"243,910","dPCR-SC2"
"11/04/2025","11/06/2025","North River","NR","7,760.00","4,660,000.00",,"649,549","dPCR-SC2"
